,1th value,2th value,3th value,4th value,5th value,6th value,7th value,8th value,9th value,10th value,11th value,12th value,13th value,14th value,15th value,16th value,17th value,18th value,19th value,20th value,21th value,22th value,23th value,24th value,25th value,26th value,27th value,28th value,29th value,30th value,31th value,32th value,33th value,34th value,35th value,36th value,37th value,38th value,39th value,40th value,41th value,42th value,43th value,44th value,45th value,46th value,47th value,48th value,49th value,50th value,51th value,52th value,53th value,54th value,55th value,56th value,57th value,58th value,59th value,60th value,61th value,62th value,63th value,64th value,65th value,66th value,67th value,68th value,69th value,70th value,71th value,72th value,73th value,74th value,75th value,76th value,77th value,78th value,79th value,80th value,81th value,82th value,83th value,84th value,85th value,86th value,87th value,88th value,89th value,90th value,91th value,92th value,93th value,94th value,95th value,96th value,97th value,98th value,99th value,100th value,101th value,102th value,103th value,104th value,105th value,106th value,107th value,108th value,109th value,110th value,111th value,112th value,113th value,114th value,115th value,116th value,117th value,118th value,119th value,120th value,121th value,122th value,123th value,124th value,125th value,126th value,127th value,128th value,129th value,130th value,131th value,132th value,133th value,134th value,135th value,136th value,137th value,138th value,139th value,140th value,141th value,142th value,143th value,144th value,145th value,146th value,147th value,148th value,149th value,150th value,151th value,152th value,153th value,154th value,155th value,156th value,157th value,158th value,159th value,160th value,161th value,162th value,163th value,164th value,165th value,166th value,167th value,168th value,169th value,170th value,171th value,172th value,173th value,174th value,175th value,176th value,177th value,178th value,179th value,180th value,181th value,182th value,183th value,184th value,185th value,186th value,187th value,188th value,189th value,190th value,191th value,192th value,193th value,194th value,195th value,196th value,197th value,198th value,199th value,200th value,201th value,202th value,203th value,204th value,205th value,206th value,207th value,208th value,209th value,210th value,211th value,212th value,213th value,214th value,215th value,216th value,217th value,218th value,219th value,220th value,221th value,222th value,223th value,224th value,225th value,226th value,227th value,228th value,229th value,230th value,231th value,232th value,233th value,234th value,235th value,236th value,237th value,238th value,239th value,240th value,241th value,242th value,243th value,244th value,245th value,246th value,247th value,248th value,249th value,250th value,genre,type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,69,5,339,4,664,26,8,1636,208,651,208,906,2,119,14,277,10,1138,7,14,120,4,5,622,163,165,18,9,14,59,4,483,90,357,53,132,67,15,233,757,1241,707,69,315,69,9,334,4,100,109,87,65,17,196,1,291,296,13,3202,17,20,17,336,12,206,26,8,380,175,64,69,915,53,61,748,4912,434,354,24,159,786,24,1,196,173,66,10,359,766,75,16,9,14,59,4,2687,49,53,132,67,15,233,757,1241,707,69,315,69,9,334,4,100,109,87,65,17,196,1,291,296,13,3202,17,20,17,336,12,206,26,8,380,175,64,69,915,53,61,748,4912,434,354,24,159,122,213,1,122,2063,291,3,265,9,12,74,160,33,74,1,234,1101,77,108,2,1440,707,69,65,367,69,9,334,4,175,64,26,8,183,357,144,254,133,814,291,2,265,61,189,3599,69,116,337,1,221,31,1,354,0,train
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,67,56,23,103,16,71,299,3393,6,3033,3,99,43,66,10,137,35,420,22,231,16,43,126,2,19,165,10,179,545,406,5,73,16,71,299,27,1,21,41,73,186,981,27,498,205,35,263,511,10,41,415,4,531,8,2118,4,2064,2,15,1,1521,6,504,2,162,101,67,6272,6,3034,10,141,2,14,415,4,531,8,2118,4,1411,916,1521,6,504,2,1112,1,6,511,10,114,41,5,8,787,245,355,490,19,1213,498,1471,373,104,209,195,72,417,22,637,149,21,41,234,66,16,14,1,415,4,531,8,2118,4,2064,2,15,1,1521,6,504,2,162,101,67,6272,6,3034,10,141,2,14,415,4,531,8,2118,4,1411,916,1521,6,504,2,1112,1,6,511,10,114,41,0,train
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,10,1,98,6,264,3,211,293,67,127,13,51,153,3,1150,178,70,733,19,10,165,5,140,4,378,173,77,98,234,54,9,6,864,53,50,58,120,8,1472,45,6,75,10,143,839,252,234,54,13,156,53,2,3600,23,27,41,1738,1,31,47,24,19,140,4,483,1473,982,125,31,1,3,1242,29,15,34,941,1544,67,64,50,178,6,657,2,405,566,2,362,362,50,169,30,924,9,60,7,265,214,138,91,583,991,528,171,22,0,train
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,20,327,602,38,195,23,16,65,327,602,465,547,58,246,897,340,102,67,15,327,602,436,157,479,14,897,436,13,210,114,78,3601,897,1471,44,65,1471,1703,98,501,42,12,146,20,282,807,5,73,3,21,92,13,210,157,865,14,749,617,401,13,210,7,78,135,327,602,617,248,1572,4,552,109,248,340,102,67,15,1804,128,897,1966,1,460,13,210,42,12,74,1,20,282,807,5,73,3,21,92,13,210,157,865,14,749,617,401,179,13,210,72,135,436,193,5,2,1303,161,71,4913,92,238,360,95,1011,103,1605,658,75,16,127,17,327,602,159,65,327,602,465,547,58,246,749,617,401,179,13,210,72,135,436,42,12,146,1637,1081,5,73,3,21,92,13,210,157,696,14,749,617,401,13,210,7,78,135,327,602,0,train
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,119,724,209,29,14,308,158,103,16,100,109,13,210,75,16,1198,312,13,336,2,119,34,472,258,29,14,5472,108,4,734,134,1769,189,501,42,14,3602,479,14,184,213,195,71,359,231,3848,77,98,42,123,486,165,7,11,42,1258,4,1848,15,1522,52,4,5,74,1,242,445,548,258,505,14,358,24,1351,122,1,1704,135,970,24,123,33,113,189,107,578,184,109,195,71,2,119,538,244,1523,77,98,42,14,5,120,11,479,14,42,1258,4,1848,15,1522,52,4,5,74,1,242,445,548,258,505,14,358,24,1351,122,1,1704,135,970,24,123,33,113,189,107,578,231,637,17,165,31,89,42,103,205,173,46,254,92,42,1258,4,1848,15,1522,52,4,5,74,1,242,445,548,258,505,14,358,24,1351,122,1,1704,135,970,24,123,33,113,189,107,578,0,train
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,34,607,22,23,41,1164,21,51,23,2,589,23,41,21,56,23,27,41,275,56,23,27,41,7,102,36,103,16,1164,22,589,22,2162,67,1,21,233,107,446,2353,89,29,15,1,333,34,942,540,109,21,208,129,89,107,418,21,56,23,27,41,275,56,23,27,41,7,102,36,103,16,1164,22,589,22,2162,67,1,21,233,107,446,2353,89,29,15,1,7,1636,9,334,4,222,18,109,58,109,2163,357,41,7,102,36,103,16,1164,22,589,22,2162,67,1,21,233,107,446,2353,89,29,15,1,277,34,109,22,66,2,501,400,0,train
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,292,52,4,15,9,12,133,24,88,866,185,139,2,333,183,26,8,46,43,556,15,149,7,6,106,397,260,43,77,26,44,24,1,106,1303,139,10,333,943,226,226,944,632,1,23,53,516,44,15,1,1,516,330,88,79,3,584,2794,2,46,443,226,226,79,3,584,540,7,6,4150,158,19,50,861,109,444,74,1,68,54,226,3203,1287,226,3203,1287,226,3203,1287,226,3203,1287,209,23,53,516,44,15,1,2,427,2,152,79,3,584,2794,2,46,443,226,226,26,44,1,64,24,3,308,1441,39,4,270,50,788,2795,198,109,259,76,93,4,171,226,3203,1287,226,3203,1287,0,train
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,169,506,20,394,140,39,105,2224,684,1012,9,6,138,79,105,7,6,394,47,156,830,67,2224,420,7,6,140,2,1070,9,6,468,27,941,685,1012,7,6,138,79,105,9,6,846,27,941,830,67,1012,83,8,175,64,17,84,83,8,175,64,17,1012,211,8,184,138,3849,11,140,4,684,65,131,48,491,79,2,3394,800,1070,772,148,4,59,37,933,684,73,3,686,26,846,79,53,143,917,26,130,6273,608,79,6,76,3,136,632,214,13,983,3,74,1,1573,473,789,26,846,79,53,143,917,6,155,12,74,1,491,26,553,52,4,684,17,491,26,473,4,684,17,1012,211,8,184,2688,210,140,4,684,65,131,48,491,79,2,3394,800,1070,772,148,6,59,37,933,684,73,3,686,26,846,79,53,143,917,26,156,491,79,2,3394,364,145,800,9,6,91,3,419,2,2504,3,276,15,207,1,116,79,53,143,917,6,155,12,74,1,0,train
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,790,2065,19,902,82,14,40,213,4151,66,19,7,11,13,52,48,790,750,790,2065,19,902,82,14,40,213,4151,66,19,7,11,13,52,48,790,1545,213,75,5473,4,612,1739,3,146,9,60,79,2,748,866,43,511,2,2429,1324,750,790,2065,19,826,78,239,124,64,213,4151,66,19,7,11,13,52,48,790,1545,213,75,5473,4,612,1739,3,146,9,60,79,2,748,866,43,511,2,2429,1324,231,213,1026,52,4,283,40,743,4,17,549,1545,213,75,5473,4,612,1739,3,146,9,60,79,2,748,866,43,511,2,2429,1324,0,train
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4152,6,142,8,15,5,2119,4,685,57,11,106,52,2505,175,487,13,142,95,52,453,6,907,1606,52,4,187,19,2,294,12,249,188,43,13,142,4152,6,13,1082,453,6,142,202,59,4,251,16,14,178,13,142,450,1259,5474,52,4,2119,48,685,1967,1546,4,532,106,52,934,113,4153,52,1113,19,62,6274,176,113,529,935,12,2120,4154,115,4,3,40,992,13,153,4,453,8,33,1334,5474,12,200,50,808,1,609,609,557,609,557,609,609,609,557,609,348,1083,609,6275,207,63,1,107,97,360,71,143,13,66,19,3,270,172,31,1,214,327,12,462,17,116,258,29,14,183,453,6,342,62,33,17,13,336,0,train
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3603,93,12,352,144,136,427,12,1151,121,20,2904,37,210,17,247,338,23,41,22,264,6,1243,12,74,1,558,6276,1,2506,1244,2584,22,66,4475,1740,2,139,53,246,54,17,1199,38,8,827,1524,4476,3204,3205,463,38,8,2066,40,4,41,73,37,50,965,29,15,38,1805,409,9,78,284,410,127,84,558,6276,1,2506,1244,2584,22,66,1,282,158,2,566,53,1037,54,17,1199,38,8,827,1524,4476,3204,3205,463,38,8,2066,40,4,41,73,37,50,965,29,15,38,1805,409,9,78,284,410,127,84,0,train
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,14,2286,4,130,71,2067,4,35,2905,4,535,33,1770,171,54,18,3035,2585,3035,47,139,202,652,4,1474,585,1126,19,853,19,1200,3850,6277,19,105,144,6277,491,4155,376,47,6278,2286,6,908,19,2354,347,908,19,130,14,2286,4,130,71,2067,4,35,2905,4,535,33,1770,171,54,18,0,train
